Loc;Genera_Prefix;Lineage_Name;Lineage;parasiteGenus;order;family;genus;species;Host_Status;Host_Age;Host_Environment;continent;country;region;site;Lat1;Lat2;Lat3;Lon1;Lon2;Lon3;length;IDSeq;IDLoc;Latitude;Longitude
38.4755555555556_-2.21388888888889;P_;SGS1;P_SGS1;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;Resident;Juvenile;Wild;Europe;Spain;_;Parque_El_Alamillo;37;25;3812;-5;59;6490;Full;Parasite_1249;640;38,4755555555556;-2,21388888888889
38.5591666666667_-2.56638888888889;P_;GRW11;P_GRW11;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;Resident;Adult_+_Juvenile;Wild;Europe;Spain;_;Restaurante_El_Olivo;37;25;4113;-6;47;9541;Full;Parasite_650;641;38,5591666666667;-2,56638888888889
38.5591666666667_-2.56638888888889;P_;SGS1;P_SGS1;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;Resident;Adult;Wild;Europe;Spain;_;Restaurante_El_Olivo;37;25;4113;-6;47;9541;Full;Parasite_1249;641;38,5591666666667;-2,56638888888889
38.5694444444444_-5.45555555555556;P_;SGS1;P_SGS1;Plasmodium;Charadriiformes;Scolopacidae;Gallinago;Gallinago_gallinago;Resident;Juvenile;Wild;Europe;Portugal;_;Santo_André;38;6;1690;-8;47;6340;Full;Parasite_1249;630;38,5694444444444;-5,45555555555556
38.6_-89.8;P_;WW3;P_WW3;Plasmodium;Passeriformes;Passeridae;Passer;Passer_montanus;_;_;Wild;North_America;United_States;Missouri;St_Louis;38;36;0;-90;12;0;Full;Parasite_1529;318;38,6;-89,8
38.6_-89.8;P_;PADOM11;P_PADOM11;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;_;_;Wild;North_America;United_States;Missouri;St_Louis;38;36;0;-90;12;0;Full;Parasite_1003;318;38,6;-89,8
38.6_-89.8;P_;ZEMAC01;P_ZEMAC01;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;_;_;Wild;North_America;United_States;Missouri;St_Louis;38;36;0;-90;12;0;Full;Parasite_1555;318;38,6;-89,8
38.6_-89.8;P_;SEIAUR01;P_SEIAUR01;Plasmodium;Passeriformes;Passeridae;Passer;Passer_montanus;_;_;Wild;North_America;United_States;Missouri;St_Louis;38;36;0;-90;12;0;Full;Parasite_1218;318;38,6;-89,8
38.6_-89.8;P_;WW3;P_WW3;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;_;_;Wild;North_America;United_States;Missouri;St_Louis;38;36;0;-90;12;0;Full;Parasite_1529;318;38,6;-89,8
38.6_-89.8;P_;GRW04;P_GRW04;Plasmodium;Passeriformes;Passeridae;Passer;Passer_montanus;_;_;Wild;North_America;United_States;Missouri;St_Louis;38;36;0;-90;12;0;Full;Parasite_643;318;38,6;-89,8
38.6_-89.8;P_;SEIAUR01;P_SEIAUR01;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;_;_;Wild;North_America;United_States;Missouri;St_Louis;38;36;0;-90;12;0;Full;Parasite_1218;318;38,6;-89,8
38.6_-89.8;P_;GRW04;P_GRW04;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;_;_;Wild;North_America;United_States;Missouri;St_Louis;38;36;0;-90;12;0;Full;Parasite_643;318;38,6;-89,8
38.6388888888889_-101.761111111111;H_;PASILI01;H_PASILI01;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Sangre_de_Cristo_Mountains;35;55;9800;-105;31;9800;Full;Parasite_1056;364;38,6388888888889;-101,761111111111
38.6388888888889_-101.761111111111;H_;TABI02;H_TABI02;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Sangre_de_Cristo_Mountains;35;55;9800;-105;31;9800;Full;Parasite_1324;364;38,6388888888889;-101,761111111111
38.6388888888889_-101.761111111111;H_;PASILI01;H_PASILI01;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Juvenile;Wild;North_America;United_States;New_Mexico;Sangre_de_Cristo_Mountains;35;55;9800;-105;31;9800;Full;Parasite_1056;364;38,6388888888889;-101,761111111111
38.6388888888889_-101.761111111111;H_;PASILI01;H_PASILI01;Haemoproteus;Passeriformes;Parulidae;Dendroica;Dendroica_coronata;Migratory;Adult;Wild;North_America;United_States;New_Mexico;Sangre_de_Cristo_Mountains;35;55;9800;-105;31;9800;Full;Parasite_1056;364;38,6388888888889;-101,761111111111
38.6758333333333_-6.37416666666667;H_;HIPOL1;H_HIPOL1;Haemoproteus;Passeriformes;Sylviidae;Acrocephalus;Acrocephalus_scirpaceus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_683;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;GRW06;P_GRW06;Plasmodium;Passeriformes;Sylviidae;Acrocephalus;Acrocephalus_scirpaceus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_645;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;SYAT05;P_SYAT05;Plasmodium;Passeriformes;Sylviidae;Cettia;Cettia_cetti;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_1288;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;SGS1;P_SGS1;Plasmodium;Passeriformes;Sylviidae;Cettia;Cettia_cetti;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_1249;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;RTSR1;P_RTSR1;Plasmodium;Passeriformes;Sylviidae;Acrocephalus;Acrocephalus_scirpaceus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_1201;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;SGS1;P_SGS1;Plasmodium;Passeriformes;Ploceidae;Ploceus;Ploceus_melanocephalus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_1249;324;38,6758333333333;-6,37416666666667
